original_index,cluster_kmeans,cluster_dbscan,dbscan_ruido,Class
0,2,0,0,0
1,2,0,0,0
2,2,-1,1,0
3,2,3,0,0
4,2,0,0,0
5,2,0,0,0
6,2,0,0,0
7,2,-1,1,0
8,0,1,0,0
9,2,0,0,0
10,2,2,0,0
11,0,1,0,0
12,2,2,0,0
13,2,0,0,0
14,2,-1,1,0
15,2,4,0,0
16,2,0,0,0
17,2,0,0,0
18,2,-1,1,0
19,2,2,0,0
20,2,3,0,0
21,2,0,0,0
22,2,0,0,0
23,2,-1,1,0
24,0,-1,1,0
25,2,-1,1,0
26,2,0,0,0
27,2,3,0,0
28,2,0,0,0
29,2,0,0,0
30,2,0,0,0
31,2,0,0,0
32,2,0,0,0
33,2,0,0,0
34,2,0,0,0
35,2,0,0,0
36,2,0,0,0
37,2,0,0,0
38,0,1,0,0
39,2,0,0,0
40,2,0,0,0
41,2,0,0,0
42,2,4,0,0
43,2,0,0,0
44,2,0,0,0
45,2,-1,1,0
46,2,3,0,0
47,2,0,0,0
48,2,0,0,0
49,3,-1,1,0
50,2,-1,1,0
51,2,0,0,0
52,2,0,0,0
53,2,0,0,0
54,2,0,0,0
55,0,1,0,0
56,2,0,0,0
57,2,0,0,0
58,2,0,0,0
59,2,3,0,0
60,2,0,0,0
61,0,1,0,0
62,2,-1,1,0
63,2,0,0,0
64,2,-1,1,0
65,2,-1,1,0
66,2,0,0,0
67,2,-1,1,0
68,2,0,0,0
69,0,1,0,0
70,2,0,0,0
71,2,0,0,0
72,2,-1,1,0
73,2,0,0,0
74,2,0,0,0
75,2,0,0,0
76,2,0,0,0
77,0,1,0,0
78,2,0,0,0
79,2,0,0,0
80,2,-1,1,0
81,2,-1,1,0
82,2,0,0,0
83,2,-1,1,0
84,2,0,0,0
85,2,0,0,0
86,0,-1,1,0
87,3,-1,1,0
88,2,0,0,0
89,2,0,0,0
90,2,0,0,0
91,2,0,0,0
92,0,1,0,0
93,2,0,0,0
94,2,0,0,0
95,2,0,0,0
96,2,-1,1,0
97,2,0,0,0
98,2,0,0,0
99,2,0,0,0
100,5,-1,1,0
101,2,0,0,0
102,5,-1,1,0
103,0,-1,1,0
104,2,0,0,0
105,2,4,0,0
106,5,0,0,0
107,2,0,0,0
108,2,0,0,0
109,2,0,0,0
110,2,0,0,0
111,2,-1,1,0
112,2,0,0,0
113,2,0,0,0
114,2,-1,1,0
115,2,-1,1,0
116,2,0,0,0
117,2,-1,1,0
118,2,0,0,0
119,2,-1,1,0
120,2,-1,1,0
121,2,-1,1,0
122,2,0,0,0
123,2,-1,1,0
124,2,0,0,0
125,2,-1,1,0
126,2,0,0,0
127,2,-1,1,0
128,2,0,0,0
129,2,-1,1,0
130,2,0,0,0
131,2,-1,1,0
132,2,0,0,0
133,2,4,0,0
134,2,-1,1,0
135,3,-1,1,0
136,2,3,0,0
137,2,0,0,0
138,0,1,0,0
139,2,0,0,0
140,0,-1,1,0
141,2,-1,1,0
142,2,0,0,0
143,2,0,0,0
144,2,-1,1,0
145,3,-1,1,0
146,2,0,0,0
147,2,0,0,0
148,2,0,0,0
149,2,0,0,0
150,0,1,0,0
151,2,0,0,0
152,2,4,0,0
153,2,0,0,0
154,2,0,0,0
155,2,-1,1,0
156,2,-1,1,0
157,2,-1,1,0
158,2,0,0,0
159,3,-1,1,0
160,2,0,0,0
161,2,0,0,0
162,2,0,0,0
163,2,0,0,0
164,2,0,0,0
165,2,0,0,0
166,2,-1,1,0
167,2,-1,1,0
168,2,0,0,0
169,3,-1,1,0
170,2,0,0,0
171,2,0,0,0
172,2,0,0,0
173,2,0,0,0
174,2,-1,1,0
175,2,0,0,0
176,2,-1,1,0
177,2,0,0,0
178,2,4,0,0
179,2,0,0,0
180,2,0,0,0
181,0,1,0,0
182,2,0,0,0
183,2,0,0,0
184,2,-1,1,0
185,2,-1,1,0
186,2,0,0,0
187,2,0,0,0
188,0,1,0,0
189,2,0,0,0
190,2,0,0,0
191,2,0,0,0
192,2,4,0,0
193,2,0,0,0
194,2,0,0,0
195,2,0,0,0
196,0,-1,1,0
197,2,0,0,0
198,2,0,0,0
199,2,0,0,0
200,2,0,0,0
201,2,0,0,0
202,2,-1,1,0
203,2,0,0,0
204,2,0,0,0
205,0,-1,1,0
206,2,-1,1,0
207,2,0,0,0
208,2,4,0,0
209,2,0,0,0
210,2,0,0,0
211,0,1,0,0
212,2,0,0,0
213,2,-1,1,0
214,2,0,0,0
215,2,-1,1,0
216,2,-1,1,0
217,2,0,0,0
218,5,-1,1,0
219,2,0,0,0
220,0,-1,1,0
221,2,0,0,0
222,2,0,0,0
223,2,4,0,0
224,2,0,0,0
225,2,0,0,0
226,2,0,0,0
227,2,0,0,0
228,2,-1,1,0
229,2,3,0,0
230,0,1,0,0
231,2,-1,1,0
232,2,0,0,0
233,2,-1,1,0
234,2,0,0,0
235,2,0,0,0
236,2,0,0,0
237,2,0,0,0
238,5,0,0,0
239,2,-1,1,0
240,2,-1,1,0
241,2,3,0,0
242,0,-1,1,0
243,2,0,0,0
244,2,-1,1,0
245,2,-1,1,0
246,2,0,0,0
247,2,0,0,0
248,2,-1,1,0
249,2,4,0,0
250,2,-1,1,0
251,2,0,0,0
252,2,0,0,0
253,2,0,0,0
254,2,0,0,0
255,2,0,0,0
256,2,0,0,0
